destinationAirport,isBasicEconomy,isNonStop,baseFare,seatsRemaining,totalTravelDistance,totalTravelDuration,weeknum,time_of_departure,time_of_arrival,no_airlines,no_layovers,segmentsCabinCode_1
BOS,0,1,217,9,947,149,15,Mid-Day,Mid-Day,1,1,coach
BOS,0,1,217,4,947,150,15,Morning,Mid-Day,1,1,coach
BOS,0,1,217,9,947,150,15,Mid-Day,Mid-Day,1,1,coach
BOS,0,1,217,8,947,152,15,Mid-Day,Night,1,1,coach
BOS,0,1,217,9,947,154,15,Mid-Day,Mid-Day,1,1,coach
BOS,0,0,213,3,956,252,15,Mid-Day,Mid-Day,1,2,coach
BOS,0,0,213,3,956,318,15,Mid-Day,Mid-Day,1,2,coach
BOS,0,0,213,7,956,332,15,Morning,Mid-Day,1,2,coach
BOS,0,0,213,7,956,398,15,Morning,Mid-Day,1,2,coach
BOS,0,0,213,1,947,286,15,Morning,Mid-Day,1,2,coach
BOS,0,0,213,3,1462,345,15,Mid-Day,Night,1,2,coach
BOS,0,0,213,5,1462,359,15,Night,Night,1,2,coach
BOS,0,0,213,3,1462,438,15,Mid-Day,Night,1,2,coach
BOS,0,0,213,2,1462,490,15,Morning,Mid-Day,1,2,coach
BOS,0,0,260,1,956,257,15,Night,Night,1,2,coach
BOS,0,0,260,1,956,276,15,Mid-Day,Mid-Day,1,2,coach
BOS,0,0,260,1,956,285,15,Night,Night,1,2,coach
BOS,0,0,260,1,956,362,15,Mid-Day,Night,1,2,coach
BOS,0,0,260,1,956,374,15,Night,Night,1,2,coach
BOS,1,0,258,9,947,586,15,Night,Morning,1,2,coach
BOS,1,0,258,9,947,661,15,Night,Mid-Day,1,2,coach
BOS,1,0,258,9,947,677,15,Night,Morning,1,2,coach
BOS,0,0,274,1,1462,377,15,Mid-Day,Night,1,2,coach
BOS,0,0,274,1,1462,385,15,Night,Morning,1,2,coach
BOS,0,1,292,9,947,152,15,Night,Night,1,1,coach
BOS,0,1,357,9,947,153,15,Mid-Day,Night,1,1,coach
BOS,0,1,357,2,947,155,15,Night,Night,1,1,coach
BOS,0,0,356,1,947,280,15,Night,Night,1,2,coach
BOS,0,0,356,1,947,325,15,Mid-Day,Night,1,2,coach
BOS,0,0,453,1,947,326,15,Mid-Day,Night,1,2,coach
CLT,0,0,338,1,1192,385,15,Mid-Day,Night,1,2,coach
CLT,0,0,339,2,868,263,15,Morning,Mid-Day,1,2,coach
CLT,0,1,357,6,228,68,15,Night,Night,1,1,coach
CLT,0,1,357,6,228,70,15,Night,Night,1,1,coach
CLT,0,1,357,9,228,71,15,Night,Morning,1,1,coach
CLT,0,1,357,9,228,71,15,Mid-Day,Mid-Day,1,1,coach
CLT,0,1,357,4,228,73,15,Mid-Day,Mid-Day,1,1,coach
CLT,0,1,357,9,228,74,15,Morning,Mid-Day,1,1,coach
CLT,0,1,357,3,228,74,15,Night,Night,1,1,coach
CLT,0,1,357,4,228,77,15,Mid-Day,Night,1,1,coach
CLT,0,1,357,7,228,81,15,Morning,Mid-Day,1,1,coach
CLT,0,1,357,1,228,82,15,Night,Night,1,1,coach
CLT,0,1,357,3,228,86,15,Mid-Day,Mid-Day,1,1,coach
CLT,0,1,357,4,228,90,15,Mid-Day,Mid-Day,1,1,coach
CLT,0,0,349,1,1192,657,15,Morning,Night,1,2,coach
CLT,0,0,436,1,1307,306,15,Mid-Day,Night,1,2,coach
CLT,0,0,436,1,1307,352,15,Night,Night,1,2,coach
CLT,0,0,436,1,1307,508,15,Mid-Day,Night,1,2,coach
CLT,0,0,436,1,1307,588,15,Mid-Day,Night,1,2,coach
CLT,0,0,436,1,1307,731,15,Mid-Day,Night,1,2,coach
CLT,0,0,482,7,1675,528,15,Mid-Day,Night,1,2,coach
CLT,0,1,506,1,228,86,15,Mid-Day,Mid-Day,1,1,coach
CLT,0,0,528,1,1307,720,15,Night,Mid-Day,1,2,coach
DEN,0,1,262,9,1207,192,15,Mid-Day,Mid-Day,1,1,coach
DEN,0,1,262,9,1207,194,15,Mid-Day,Mid-Day,1,1,coach
DEN,0,1,262,2,1207,197,15,Night,Night,1,1,coach
DEN,0,1,262,9,1207,197,15,Night,Night,1,1,coach
DEN,0,1,262,5,1207,197,15,Night,Night,1,1,coach
DEN,0,1,262,9,1207,198,15,Mid-Day,Mid-Day,1,1,coach
DEN,0,1,262,9,1207,199,15,Mid-Day,Night,1,1,coach
DEN,0,1,262,3,1207,200,15,Night,Night,1,1,coach
DEN,0,1,262,9,1207,201,15,Mid-Day,Mid-Day,1,1,coach
DEN,0,1,262,5,1207,201,15,Mid-Day,Mid-Day,1,1,coach
DEN,0,1,262,1,1207,205,15,Mid-Day,Mid-Day,1,1,coach
DEN,0,0,262,1,1574,337,15,Mid-Day,Mid-Day,1,2,coach
DEN,0,0,262,7,1574,360,15,Morning,Mid-Day,1,2,coach
DEN,0,0,262,7,1574,502,15,Morning,Mid-Day,1,2,coach
DEN,0,0,262,7,1375,322,15,Mid-Day,Night,1,2,coach
DEN,0,0,262,7,1375,323,15,Mid-Day,Mid-Day,1,2,coach
DEN,0,0,262,7,1375,342,15,Mid-Day,Mid-Day,1,2,coach
DEN,0,0,262,7,1375,356,15,Morning,Mid-Day,1,2,coach
DEN,0,0,262,7,1503,385,15,Night,Night,1,2,coach
DEN,0,0,262,4,1567,389,15,Night,Night,1,2,coach
DEN,0,0,262,6,1567,389,15,Mid-Day,Night,1,2,coach
DEN,0,0,262,3,2014,402,15,Morning,Mid-Day,1,2,coach
DEN,0,0,262,7,1375,431,15,Mid-Day,Night,1,2,coach
DEN,0,0,262,7,1375,445,15,Mid-Day,Night,1,2,coach
DEN,0,0,262,7,1375,448,15,Mid-Day,Mid-Day,1,2,coach
DEN,0,0,262,3,1567,458,15,Mid-Day,Night,1,2,coach
DEN,0,0,262,7,1375,462,15,Morning,Mid-Day,1,2,coach
DEN,0,0,262,4,2383,512,15,Night,Morning,1,2,coach
DEN,0,0,262,3,2014,541,15,Morning,Mid-Day,1,2,coach
DEN,0,0,357,1,2014,426,15,Mid-Day,Mid-Day,1,2,coach
DEN,0,0,493,4,1948,445,15,Morning,Mid-Day,1,2,coach
DFW,0,1,174,9,725,133,15,Mid-Day,Mid-Day,1,1,coach
DFW,0,1,174,1,725,135,15,Night,Night,1,1,coach
DFW,0,1,174,9,725,136,15,Mid-Day,Night,1,1,coach
DFW,0,1,174,8,725,136,15,Mid-Day,Mid-Day,1,1,coach
DFW,0,1,174,1,725,138,15,Night,Morning,1,1,coach
DFW,0,1,174,4,725,141,15,Mid-Day,Mid-Day,1,1,coach
DFW,0,1,174,9,725,141,15,Night,Night,1,1,coach
DFW,0,1,174,6,725,142,15,Mid-Day,Mid-Day,1,1,coach
DFW,0,1,174,9,725,142,15,Mid-Day,Mid-Day,1,1,coach
DFW,0,1,174,7,725,143,15,Morning,Morning,1,1,coach
DFW,0,1,174,7,725,149,15,Mid-Day,Mid-Day,1,1,coach
DFW,0,1,174,3,725,150,15,Night,Night,1,1,coach
DFW,0,1,174,7,725,151,15,Mid-Day,Mid-Day,1,1,coach
DFW,0,1,174,7,725,155,15,Mid-Day,Mid-Day,1,1,coach
DFW,0,0,174,6,1158,336,15,Morning,Mid-Day,1,2,coach
DFW,0,0,174,2,1158,471,15,Morning,Mid-Day,1,2,coach
DFW,0,0,174,7,924,271,15,Mid-Day,Night,1,2,coach
DFW,0,0,174,1,924,283,15,Night,Night,1,2,coach
DFW,0,0,174,4,924,292,15,Mid-Day,Mid-Day,1,2,coach
DFW,0,0,174,1,1399,370,15,Morning,Mid-Day,1,2,coach
DFW,0,0,174,1,924,398,15,Mid-Day,Night,1,2,coach
DFW,0,0,174,4,924,408,15,Mid-Day,Night,1,2,coach
