destinationAirport,fareBasisCode,travelDuration,isBasicEconomy,isNonStop,baseFare,totalTravelDuration,weeknum,time_of_departure,time_of_arrival,no_airlines,no_layovers,no_equipment,no_cabin_changes
BOS,LA0NX0MC,PT2H29M,False,True,217.67,149,15,Mid-Day,Mid-Day,1,1,1,1
BOS,LA0NX0MC,PT2H30M,False,True,217.67,150,15,Morning,Mid-Day,1,1,1,1
BOS,LA0NX0MC,PT2H30M,False,True,217.67,150,15,Mid-Day,Mid-Day,1,1,1,1
BOS,LA0NX0MC,PT2H32M,False,True,217.67,152,15,Mid-Day,Night,1,1,1,1
BOS,LA0NX0MC,PT2H34M,False,True,217.67,154,15,Mid-Day,Mid-Day,1,1,1,1
BOS,V0AJZNN1,PT4H12M,False,False,213.02,252,15,Mid-Day,Mid-Day,1,2,1,1
BOS,V0AJZNN1,PT5H18M,False,False,213.02,318,15,Mid-Day,Mid-Day,1,2,2,1
BOS,V0AJZNN1,PT5H32M,False,False,213.02,332,15,Morning,Mid-Day,1,2,2,1
BOS,V0AJZNN1,PT6H38M,False,False,213.02,398,15,Morning,Mid-Day,1,2,2,1
BOS,VAA0AKEN,PT4H46M,False,False,213.02,286,15,Morning,Mid-Day,1,2,2,1
BOS,V0AJZNN1,PT5H45M,False,False,213.02,345,15,Mid-Day,Night,1,2,2,1
BOS,V0AJZNN1,PT5H59M,False,False,213.02,359,15,Night,Night,1,2,2,1
BOS,V0AJZNN1,PT7H18M,False,False,213.02,438,15,Mid-Day,Night,1,2,2,1
BOS,VAA0AKEN,PT8H10M,False,False,213.02,490,15,Morning,Mid-Day,1,2,2,1
BOS,L0AJZNN1,PT4H17M,False,False,260.47,257,15,Night,Night,1,2,2,1
BOS,L0AJZNN1,PT4H36M,False,False,260.47,276,15,Mid-Day,Mid-Day,1,2,2,1
BOS,L0AJZNN1,PT4H45M,False,False,260.47,285,15,Night,Night,1,2,2,1
BOS,L0AJZNN1,PT6H2M,False,False,260.47,362,15,Mid-Day,Night,1,2,2,1
BOS,L0AJZNN1,PT6H14M,False,False,260.47,374,15,Night,Night,1,2,2,1
BOS,WAA0AHBN,PT9H46M,True,False,258.6,586,15,Night,Morning,1,2,1,1
BOS,WAA0AHBN,PT11H1M,True,False,258.6,661,15,Night,Mid-Day,1,2,2,1
BOS,WAA0AHBN,PT11H17M,True,False,258.6,677,15,Night,Morning,1,2,2,1
BOS,QAA0OKEN,PT6H17M,False,False,274.42,377,15,Mid-Day,Night,1,2,2,1
BOS,QAA0OKEN,PT6H25M,False,False,274.42,385,15,Night,Morning,1,2,2,1
BOS,QA0OX0MC,PT2H32M,False,True,292.09,152,15,Night,Night,1,1,1,1
BOS,HA0QA0MQ,PT2H33M,False,True,357.21,153,15,Mid-Day,Night,1,1,1,1
BOS,HA0QA0MQ,PT2H35M,False,True,357.21,155,15,Night,Night,1,1,1,1
BOS,QAA0JHES,PT4H40M,False,False,356.28,280,15,Night,Night,1,2,2,1
BOS,QAA0JHES,PT5H25M,False,False,356.28,325,15,Mid-Day,Night,1,2,2,1
BOS,EAA0OKEN,PT5H26M,False,False,453.95,326,15,Mid-Day,Night,1,2,1,1
CLT,V0AHZNN1,PT6H25M,False,False,338.6,385,15,Mid-Day,Night,1,2,2,1
CLT,VAA0JKEN,PT4H23M,False,False,339.53,263,15,Morning,Mid-Day,1,2,2,1
CLT,M0AHZNN1,PT1H8M,False,True,357.21,68,15,Night,Night,1,1,1,1
CLT,MA0QA0MQ,PT1H10M,False,True,357.21,70,15,Night,Night,1,1,1,1
CLT,MA0QA0MQ,PT1H11M,False,True,357.21,71,15,Night,Morning,1,1,1,1
CLT,MA0QA0MQ,PT1H11M,False,True,357.21,71,15,Mid-Day,Mid-Day,1,1,1,1
CLT,MA0QA0MQ,PT1H13M,False,True,357.21,73,15,Mid-Day,Mid-Day,1,1,1,1
CLT,MA0QA0MQ,PT1H14M,False,True,357.21,74,15,Morning,Mid-Day,1,1,1,1
CLT,MA0QA0MQ,PT1H14M,False,True,357.21,74,15,Night,Night,1,1,1,1
CLT,MA0QA0MQ,PT1H17M,False,True,357.21,77,15,Mid-Day,Night,1,1,1,1
CLT,M0AHZNN1,PT1H21M,False,True,357.21,81,15,Morning,Mid-Day,1,1,1,1
CLT,M0AHZNN1,PT1H22M,False,True,357.21,82,15,Night,Night,1,1,1,1
CLT,M0AHZNN1,PT1H26M,False,True,357.21,86,15,Mid-Day,Mid-Day,1,1,1,1
CLT,M0AHZNN1,PT1H30M,False,True,357.21,90,15,Mid-Day,Mid-Day,1,1,1,1
CLT,VAA0AKEN,PT10H57M,False,False,349.76,657,15,Morning,Night,1,2,2,1
CLT,QAA0JHES,PT5H6M,False,False,436.28,306,15,Mid-Day,Night,1,2,2,1
CLT,QAA0JHES,PT5H52M,False,False,436.28,352,15,Night,Night,1,2,2,1
CLT,QAA0JHES,PT8H28M,False,False,436.28,508,15,Mid-Day,Night,1,2,1,1
CLT,QAA0JHES,PT9H48M,False,False,436.28,588,15,Mid-Day,Night,1,2,1,1
CLT,QAA0JHES,PT12H11M,False,False,436.28,731,15,Mid-Day,Night,1,2,2,1
CLT,VH0AUEL1,PT8H48M,False,False,482.79,528,15,Mid-Day,Night,1,2,2,1
CLT,H0APZNN1,PT1H26M,False,True,506.98,86,15,Mid-Day,Mid-Day,1,1,1,1
CLT,V0AJZSN1,PT12H,False,False,528.37,720,15,Night,Mid-Day,1,2,2,1
DEN,QA0NA0MQ,PT3H12M,False,True,262.33,192,15,Mid-Day,Mid-Day,1,1,1,1
DEN,QA0NA0MQ,PT3H14M,False,True,262.33,194,15,Mid-Day,Mid-Day,1,1,1,1
DEN,QA0NA0MQ,PT3H17M,False,True,262.33,197,15,Night,Night,1,1,1,1
DEN,QA0NA0MQ,PT3H17M,False,True,262.33,197,15,Night,Night,1,1,1,1
DEN,VAA0AKEN,PT3H17M,False,True,262.33,197,15,Night,Night,1,1,1,1
DEN,QA0NA0MQ,PT3H18M,False,True,262.33,198,15,Mid-Day,Mid-Day,1,1,1,1
DEN,QA0NA0MQ,PT3H19M,False,True,262.33,199,15,Mid-Day,Night,1,1,1,1
DEN,QA0NA0MQ,PT3H20M,False,True,262.33,200,15,Night,Night,1,1,1,1
DEN,QA0NA0MQ,PT3H21M,False,True,262.33,201,15,Mid-Day,Mid-Day,1,1,1,1
DEN,VAA0AKEN,PT3H21M,False,True,262.33,201,15,Mid-Day,Mid-Day,1,1,1,1
DEN,VAA0AKEN,PT3H25M,False,True,262.33,205,15,Mid-Day,Mid-Day,1,1,1,1
DEN,L0AHZNN1,PT5H37M,False,False,262.33,337,15,Mid-Day,Mid-Day,1,2,2,1
DEN,L0AHZNN1,PT6H,False,False,262.33,360,15,Morning,Mid-Day,1,2,2,1
DEN,L0AHZNN1,PT8H22M,False,False,262.33,502,15,Morning,Mid-Day,1,2,2,1
DEN,L0AHZNN1,PT5H22M,False,False,262.33,322,15,Mid-Day,Night,1,2,1,1
DEN,L0AHZNN1,PT5H23M,False,False,262.33,323,15,Mid-Day,Mid-Day,1,2,1,1
DEN,L0AHZNN1,PT5H42M,False,False,262.33,342,15,Mid-Day,Mid-Day,1,2,1,1
DEN,L0AHZNN1,PT5H56M,False,False,262.33,356,15,Morning,Mid-Day,1,2,1,1
DEN,L0AHZNN1,PT6H25M,False,False,262.33,385,15,Night,Night,1,2,2,1
DEN,VAA0AKEN,PT6H29M,False,False,262.33,389,15,Night,Night,1,2,2,1
DEN,VAA0AKEN,PT6H29M,False,False,262.33,389,15,Mid-Day,Night,1,2,2,1
DEN,VAA0AKEN,PT6H42M,False,False,262.33,402,15,Morning,Mid-Day,1,2,2,1
DEN,L0AHZNN1,PT7H11M,False,False,262.33,431,15,Mid-Day,Night,1,2,1,1
DEN,L0AHZNN1,PT7H25M,False,False,262.33,445,15,Mid-Day,Night,1,2,1,1
DEN,L0AHZNN1,PT7H28M,False,False,262.33,448,15,Mid-Day,Mid-Day,1,2,1,1
DEN,VAA0AKEN,PT7H38M,False,False,262.33,458,15,Mid-Day,Night,1,2,2,1
DEN,L0AHZNN1,PT7H42M,False,False,262.33,462,15,Morning,Mid-Day,1,2,1,1
DEN,VAA0AKEN,PT8H32M,False,False,262.33,512,15,Night,Morning,1,2,2,1
DEN,VAA0AKEN,PT9H1M,False,False,262.33,541,15,Morning,Mid-Day,1,2,2,1
DEN,HAA0OKEN,PT7H6M,False,False,357.21,426,15,Mid-Day,Mid-Day,1,2,2,1
DEN,H01PXP5,PT7H25M,False,False,493.4,445,15,Morning,Mid-Day,1,2,1,1
DFW,LA0NX0MQ,PT2H13M,False,True,174.88,133,15,Mid-Day,Mid-Day,1,1,1,1
DFW,LA0NX0MQ,PT2H15M,False,True,174.88,135,15,Night,Night,1,1,1,1
DFW,LA0NX0MQ,PT2H16M,False,True,174.88,136,15,Mid-Day,Night,1,1,1,1
DFW,LA0NX0MQ,PT2H16M,False,True,174.88,136,15,Mid-Day,Mid-Day,1,1,1,1
DFW,LA0NX0MQ,PT2H18M,False,True,174.88,138,15,Night,Morning,1,1,1,1
DFW,LA0NX0MQ,PT2H21M,False,True,174.88,141,15,Mid-Day,Mid-Day,1,1,1,1
DFW,LA0NX0MQ,PT2H21M,False,True,174.88,141,15,Night,Night,1,1,1,1
DFW,LA0NX0MQ,PT2H22M,False,True,174.88,142,15,Mid-Day,Mid-Day,1,1,1,1
DFW,LA0NX0MQ,PT2H22M,False,True,174.88,142,15,Mid-Day,Mid-Day,1,1,1,1
DFW,V0AHZNN1,PT2H23M,False,True,174.88,143,15,Morning,Morning,1,1,1,1
DFW,V0AHZNN1,PT2H29M,False,True,174.88,149,15,Mid-Day,Mid-Day,1,1,1,1
DFW,V0AHZNN1,PT2H30M,False,True,174.88,150,15,Night,Night,1,1,1,1
DFW,V0AHZNN1,PT2H31M,False,True,174.88,151,15,Mid-Day,Mid-Day,1,1,1,1
DFW,V0AHZNN1,PT2H35M,False,True,174.88,155,15,Mid-Day,Mid-Day,1,1,1,1
DFW,V0AHZNN1,PT5H36M,False,False,174.88,336,15,Morning,Mid-Day,1,2,2,1
DFW,V0AHZNN1,PT7H51M,False,False,174.88,471,15,Morning,Mid-Day,1,2,2,1
DFW,WAA0AKEN,PT4H31M,False,False,174.88,271,15,Mid-Day,Night,1,2,2,1
DFW,WAA0AKEN,PT4H43M,False,False,174.88,283,15,Night,Night,1,2,2,1
DFW,WAA0AKEN,PT4H52M,False,False,174.88,292,15,Mid-Day,Mid-Day,1,2,2,1
DFW,WAA0AKEN,PT6H10M,False,False,174.88,370,15,Morning,Mid-Day,1,2,2,1
DFW,WAA0AKEN,PT6H38M,False,False,174.88,398,15,Mid-Day,Night,1,2,1,1
DFW,WAA0AKEN,PT6H48M,False,False,174.88,408,15,Mid-Day,Night,1,2,2,1
DFW,V0AHZNN1,PT7H37M,False,False,174.88,457,15,Mid-Day,Night,1,2,2,1
DFW,KA0NA0MQ,PT2H23M,False,True,221.4,143,15,Night,Night,1,1,1,1
DFW,L0AIZNN1,PT2H33M,False,True,227.91,153,15,Night,Night,1,1,1,1
DFW,QA0OX0MQ,PT2H16M,False,True,245.58,136,15,Night,Night,1,1,1,1
DFW,QAA0OKEN,PT5H17M,False,False,274.42,317,15,Morning,Mid-Day,1,2,1,1
DFW,QA0OA0MQ,PT2H21M,False,True,292.09,141,15,Night,Night,1,1,1,1
DTW,G0AIZNN1,PT6H47M,False,False,174.88,407,15,Mid-Day,Mid-Day,1,2,2,1
DTW,WAA0AFEN,PT4H47M,False,False,174.88,287,15,Morning,Mid-Day,1,2,2,1
DTW,G0AIZNN1,PT5H7M,False,False,174.88,307,15,Night,Night,1,2,1,1
DTW,G0AIZNN1,PT6H2M,False,False,174.88,362,15,Morning,Mid-Day,1,2,2,1
DTW,G0AIZNN1,PT6H23M,False,False,174.88,383,15,Mid-Day,Night,1,2,1,1
DTW,WAA0AFEN,PT6H46M,False,False,174.88,406,15,Morning,Mid-Day,1,2,1,1
DTW,G0AIZNN1,PT7H2M,False,False,174.88,422,15,Mid-Day,Night,1,2,1,1
DTW,G0AIZNN1,PT8H51M,False,False,174.88,531,15,Mid-Day,Night,1,2,1,1
DTW,V0AIZNN1,PT4H55M,False,False,227.91,295,15,Morning,Mid-Day,1,2,1,1
DTW,V0AIZNN1,PT6H25M,False,False,227.91,385,15,Morning,Mid-Day,1,2,1,1
DTW,QAA0OFEN,PT5H44M,False,False,255.81,344,15,Night,Night,1,2,2,1
DTW,QAA0OFEN,PT7H8M,False,False,255.81,428,15,Mid-Day,Night,1,2,2,1
DTW,RH0AUEL1,PT5H8M,False,False,269.78,308,15,Night,Night,1,2,1,1
DTW,L0AIZNN1,PT3H46M,False,False,273.49,226,15,Night,Night,1,2,2,1
DTW,L0AIZNN1,PT3H52M,False,False,273.49,232,15,Night,Night,1,2,2,1
DTW,L0AIZNN1,PT4H5M,False,False,273.49,245,15,Mid-Day,Mid-Day,1,2,2,1
DTW,UAA0OFEN,PT6H8M,False,False,348.84,368,15,Mid-Day,Night,1,2,2,1
DTW,UA0NX0MC,PT9H45M,False,False,373.02,585,15,Night,Mid-Day,1,2,2,1
DTW,UA0NX0MC,PT10H45M,False,False,373.02,645,15,Night,Mid-Day,1,2,2,1
DTW,UA0NX0MC,PT11H45M,False,False,373.02,705,15,Night,Mid-Day,1,2,2,1
DTW,UA0NX0MC,PT12H2M,False,False,373.02,722,15,Night,Mid-Day,1,2,2,1
DTW,KA0OX0MQ,PT4H34M,False,False,379.54,274,15,Mid-Day,Night,2,2,2,1
DTW,KA0OX0MQ,PT4H56M,False,False,379.54,296,15,Mid-Day,Night,2,2,2,1
DTW,KA0OX0MQ,PT5H36M,False,False,379.54,336,15,Morning,Mid-Day,2,2,2,1
DTW,LA0NX0MC,PT8H33M,False,False,382.32,513,15,Mid-Day,Morning,1,2,2,1
DTW,LA0NX0MC,PT10H55M,False,False,382.32,655,15,Night,Mid-Day,1,2,2,1
DTW,LA0NX0MC,PT12H8M,False,False,382.32,728,15,Mid-Day,Morning,1,2,2,1
DTW,KA0NX0MQ,PT10H7M,False,False,393.48,607,15,Mid-Day,Night,1,2,2,1
DTW,KA0NX0MQ,PT5H37M,False,False,431.62,337,15,Night,Night,1,2,2,1
DTW,KA0QA0MQ,PT4H45M,False,False,435.34,285,15,Mid-Day,Night,1,2,2,1
DTW,KA0QA0MQ,PT4H48M,False,False,435.34,288,15,Night,Morning,1,2,2,1
DTW,KA0QA0MQ,PT5H46M,False,False,435.34,346,15,Mid-Day,Mid-Day,1,2,1,1
DTW,KA0QA0MQ,PT6H18M,False,False,435.34,378,15,Night,Morning,1,2,2,1
DTW,KA0QA0MQ,PT6H41M,False,False,435.34,401,15,Morning,Mid-Day,1,2,2,1
DTW,KA0QA0MQ,PT7H33M,False,False,435.34,453,15,Night,Morning,1,2,2,1
DTW,KA0QA0MQ,PT9H55M,False,False,435.34,595,15,Night,Mid-Day,1,2,2,1
DTW,KA0QA0MQ,PT10H48M,False,False,435.34,648,15,Mid-Day,Morning,1,2,2,1
DTW,MA0QA0MQ,PT1H51M,False,True,450.23,111,15,Night,Morning,1,1,1,1
DTW,MA0QA0MQ,PT1H52M,False,True,450.23,112,15,Mid-Day,Night,1,1,1,1
DTW,MA0QA0MQ,PT1H52M,False,True,450.23,112,15,Morning,Mid-Day,1,1,1,1
DTW,MA0QA0MQ,PT1H53M,False,True,450.23,113,15,Night,Night,1,1,1,1
DTW,MA0QA0MQ,PT1H53M,False,True,450.23,113,15,Night,Night,1,1,1,1
DTW,MA0QA0MQ,PT1H54M,False,True,450.23,114,15,Mid-Day,Mid-Day,1,1,1,1
DTW,MA0QA0MQ,PT1H54M,False,True,450.23,114,15,Mid-Day,Mid-Day,1,1,1,1
DTW,MA0QA0MQ,PT1H55M,False,True,450.23,115,15,Mid-Day,Mid-Day,1,1,1,1
DTW,LA0NX0MC,PT6H59M,False,False,439.07,419,15,Night,Morning,1,2,2,1
DTW,UA0NX0MC,PT12H6M,False,False,447.44,726,15,Mid-Day,Night,1,2,2,1
DTW,KA0OX0MC,PT5H50M,False,False,453.95,350,15,Mid-Day,Mid-Day,1,2,2,1
DTW,KA0OX0MC,PT6H55M,False,False,453.95,415,15,Morning,Mid-Day,1,2,1,1
DTW,KA0OX0MC,PT7H27M,False,False,453.95,447,15,Mid-Day,Mid-Day,1,2,2,1
DTW,QA0OX0MC,PT7H55M,False,False,463.25,475,15,Mid-Day,Night,1,2,2,1
DTW,KA0NX0MC,PT8H45M,False,False,486.51,525,15,Night,Morning,1,2,2,1
DTW,KA0NX0MC,PT10H46M,False,False,486.51,646,15,Night,Morning,1,2,2,1
DTW,KA0NA0MC,PT5H18M,False,False,512.56,318,15,Mid-Day,Mid-Day,1,2,2,1
DTW,QA0OX0MC,PT9H15M,False,False,509.77,555,15,Night,Morning,1,2,2,1
DTW,KA0QA0MQ,PT8H9M,False,False,528.38,489,15,Mid-Day,Night,1,2,2,1
DTW,UA0NX0MC,PT8H15M,False,False,532.09,495,15,Night,Morning,1,2,2,1
DTW,QA0UA0MC,PT10H59M,False,False,551.62,659,15,Night,Morning,1,2,1,1
DTW,KA0OA0MC,PT6H36M,False,False,565.58,396,15,Mid-Day,Night,1,2,2,1
DTW,KA0OA0MC,PT7H54M,False,False,565.58,474,15,Mid-Day,Night,1,2,2,1
DTW,QA0NA0MC,PT8H9M,False,False,568.37,489,15,Night,Morning,1,2,2,1
DTW,KA0NA0MC,PT4H20M,False,False,582.33,260,15,Mid-Day,Mid-Day,1,2,2,1
DTW,KA0OX0MC,PT4H3M,False,False,602.79,243,15,Morning,Mid-Day,1,2,2,1
DTW,KA0NA0MC,PT4H50M,False,False,669.76,290,15,Night,Night,1,2,2,1
DTW,QA0QA0MQ,PT8H42M,False,False,667.91,522,15,Mid-Day,Night,1,2,2,1
DTW,KA0OX0MC,PT11H1M,False,False,702.28,661,15,Mid-Day,Night,2,4,3,1
DTW,HA0QA0MQ,PT3H18M,False,False,714.42,198,15,Mid-Day,Mid-Day,1,2,1,1
DTW,HA0QA0MQ,PT5H27M,False,False,714.42,327,15,Mid-Day,Mid-Day,1,2,2,1
DTW,HA0QA0MQ,PT6H33M,False,False,714.42,393,15,Mid-Day,Mid-Day,1,2,2,1
DTW,MA0QA0MQ,PT5H12M,False,False,760.93,312,15,Mid-Day,Night,1,2,2,1
DTW,HA0QA0MQ,PT9H56M,False,False,760.93,596,15,Night,Morning,1,2,2,1
EWR,VC0QBEL1,PT2H9M,False,True,171.16,129,15,Morning,Mid-Day,1,1,1,1
EWR,KA0NX0MQ,PT1H56M,False,True,175.81,116,15,Morning,Mid-Day,1,1,1,1
EWR,KA0NX0MQ,PT2H1M,False,True,175.81,121,15,Mid-Day,Mid-Day,1,1,1,1
EWR,KA0NX0MQ,PT2H4M,False,True,175.81,124,15,Night,Morning,1,1,1,1
EWR,KA0NX0MQ,PT2H5M,False,True,175.81,125,15,Mid-Day,Mid-Day,1,1,1,1
EWR,KA0NX0MQ,PT2H7M,False,True,175.81,127,15,Night,Night,1,1,1,1
EWR,KA0NX0MQ,PT2H9M,False,True,175.81,129,15,Night,Night,1,1,1,1
EWR,KA0NX0MQ,PT2H11M,False,True,175.81,131,15,Mid-Day,Night,1,1,1,1
EWR,WAA0AHBN,PT2H19M,True,True,175.81,139,15,Night,Night,1,1,1,1
EWR,WAA0AHBN,PT2H28M,True,True,175.81,148,15,Night,Night,1,1,1,1
EWR,G0AJZSN1,PT5H53M,False,False,171.16,353,15,Morning,Mid-Day,1,2,2,1
EWR,G0AJZSN1,PT5H43M,False,False,171.16,343,15,Night,Night,1,2,2,1
EWR,G0AJZSN1,PT6H21M,False,False,171.16,381,15,Mid-Day,Night,1,2,2,1
EWR,G0AJZSN1,PT7H40M,False,False,171.16,460,15,Mid-Day,Night,1,2,2,1
EWR,G0AJZSN1,PT8H36M,False,False,171.16,516,15,Morning,Mid-Day,1,2,1,1
EWR,G0AJZSN1,PT9H8M,False,False,171.16,548,15,Mid-Day,Night,1,2,1,1
